nome_completo_do_carro,ano,preco_de_venda_USD,km_rodado,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,assentos,preco_de_venda_USD_normalizado,consumo_do_combustivel_kmpl_normalizado,preco_de_venda_USD_binned,tipo_de_combustivel_Diesel,tipo_de_combustivel_Petrol
Mahindra KUV 100 mFALCON G80 K8 5str,2016,5479.45205479452,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,-0.31085605967250224,-0.30995600685373026,Baixo,0,1
Hyundai i20 1.4 CRDi Asta,2012,6849.315068493151,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,-0.18846496096565007,0.9020056681398444,Baixo,1,0
Maruti Alto LX,2002,2054.794520547945,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,-0.6168338064396327,0.07737195113390706,Baixo,0,1
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,9315.068493150686,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,0.03183901670668389,0.7870567257693196,Baixo,1,0
Mahindra Verito 1.5 D4 BSIII,2011,2383.5616438356165,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,-0.5874599427499879,0.4022276578332158,Baixo,1,0
Honda WR-V i-DTEC VX,2017,13013.698630136987,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,0.3622949832151847,1.52672818102313,Baixo,1,0
Maruti Swift Dzire ZDI,2015,7191.780821917808,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,-0.15786718628893706,1.7991071966402423,Baixo,1,0
Maruti SX4 ZDI,2012,8219.17808219178,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,-0.06607386225879798,0.5271721604098729,Baixo,1,0
Tata Tigor 2017-2020 XZ,2018,6849.315068493151,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,-0.18846496096565007,0.227305354225896,Baixo,0,1
Maruti Baleno Delta 1.2,2016,7876.712328767123,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,-0.09667163693551098,0.5021832598945412,Baixo,0,1
Maruti Alto 800 LXI,2017,3767.123287671233,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,-0.4638449330560674,1.3268169769004785,Baixo,0,1
Maruti Wagon R LXI Minor,2009,3013.698630136986,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,-0.5311600373448361,-0.12253925298874452,Baixo,0,1
Maruti Vitara Brezza LDi Option,2017,9178.082191780824,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,0.019599906835998656,1.2268613748391533,Baixo,1,0
Hyundai i20 1.2 Asta Dual Tone,2018,10000.0,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,0.09303456606010987,-0.1975059545347381,Baixo,0,1
Maruti Vitara Brezza LDi,2017,8904.109589041096,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,-0.00487831290537181,1.2268613748391533,Baixo,1,0
Maruti Alto K10 VXI Airbag,2019,5013.698630136986,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,-0.352469033232832,1.1394002230354927,Baixo,0,1
Datsun GO D,2016,2054.794520547945,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,-0.6168338064396327,0.3097687259264893,Baixo,0,1
Honda City i VTEC VX,2018,12671.232876712329,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,0.3316972085384716,-0.3974171586573897,Baixo,0,1
Honda City V MT,2013,5821.917808219178,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,-0.28025828499578914,-0.6473061638107039,Baixo,0,1
Maruti Swift Dzire VXi AT,2018,9246.575342465754,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,0.025719461771341275,-0.22249485505006988,Baixo,0,1
Maruti Vitara Brezza VDi,2018,11232.86301369863,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,0.2031853309852898,1.2268613748391533,Baixo,1,0
Maruti Alto K10 VXI,2018,5342.465753424657,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,-0.32309516954318745,1.1394002230354927,Baixo,0,1
Honda Amaze S Diesel,2015,5821.917808219178,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,-0.28025828499578914,1.3268169769004785,Baixo,1,0
Honda City i DTEC S,2015,8219.17808219178,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,-0.06607386225879798,1.6516726835997873,Baixo,1,0
Maruti Ciaz Zeta,2018,11643.835616438357,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,0.2399038845083325,0.3147665060295555,Baixo,0,1
Honda Jazz VX Diesel,2015,7191.780821917808,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,-0.15786718628893706,1.9765283902990958,Baixo,1,0
Tata Manza ELAN Quadrajet BS IV,2011,3630.1369863013697,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,-0.4760840429267527,0.4322143384516138,Baixo,1,0
Hyundai i10 Magna,2011,2602.739726027397,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,-0.5678773669568917,0.2422986945350945,Baixo,0,1
Hyundai i20 Asta 1.4 CRDi,2013,5821.917808219178,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,-0.28025828499578914,0.4696976892246105,Baixo,1,0
Maruti Swift Dzire ZDI,2015,8630.136986301372,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,-0.029356532646742275,1.7991071966402423,Baixo,1,0
Ford Figo 1.2P Titanium MT,2017,8219.17808219178,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,-0.06607386225879798,-0.30745711680219673,Baixo,0,1
Maruti Baleno Delta 1.2,2019,8904.109589041096,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,-0.00487831290537181,0.5021832598945412,Baixo,0,1
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,7397.260273972603,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,-0.1395085214829092,0.65211666298653,Baixo,1,0
Honda City i DTEC VX,2015,8630.136986301372,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,-0.029356532646742275,1.4267725789618046,Baixo,1,0
Maruti Wagon R AMT VXI,2018,6136.986301369863,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,-0.2521083322932132,0.2797820453080922,Baixo,0,1
Volkswagen Ameo 1.5 TDI Comfortline,2017,6849.315068493151,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,-0.18846496096565007,0.5671544012344033,Baixo,1,0
Maruti Vitara Brezza VDi,2016,10205.479452054797,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,0.11139323086613774,1.2268613748391533,Baixo,1,0
Maruti Vitara Brezza ZDi Plus AMT,2019,14041.09589041096,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,0.4540883072453238,1.2268613748391533,Baixo,1,0
Hyundai i10 Magna,2011,3219.178082191781,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,-0.5128013725388083,0.2422986945350945,Baixo,0,1
Maruti Swift VDI Deca,2016,8630.136986301372,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,-0.029356532646742275,1.4517614794771356,Baixo,1,0
Maruti Swift Star VDI,2013,6164.3835616438355,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,-0.24966051031907616,0.8770167676245125,Baixo,1,0
Volkswagen Vento Diesel Highline,2013,6164.3835616438355,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,-0.24966051031907616,0.287278715462691,Baixo,1,0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,8356.164383561643,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,-0.053834752388112736,0.844531196954582,Baixo,1,0
Maruti Celerio ZXI MT BSIV,2017,6643.821917808219,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,-0.20682484968266496,0.9269945686551762,Baixo,0,1
Datsun GO A Petrol,2016,3767.123287671233,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,-0.4638449330560674,-0.09255257237034656,Baixo,0,1
Maruti Alto 800 VXI BSIV,2016,4315.068493150685,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,-0.4148884935733266,1.3268169769004785,Baixo,0,1
Maruti Alto 800 LXI BSIV,2016,3767.123287671233,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,-0.4638449330560674,1.3268169769004785,Baixo,0,1
Hyundai i10 Era 1.1,2012,3972.6027397260273,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,-0.4454862682500396,0.10485974170077147,Baixo,0,1
Volkswagen Polo 1.2 MPI Comfortline,2015,6232.876712328767,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,-0.2435409553837335,-0.7297695355112982,Baixo,0,1
Hyundai i10 Magna 1.1L,2015,4808.219178082191,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,-0.3708276980388597,0.10485974170077147,Baixo,0,1
Volkswagen Vento Petrol Highline,2012,7328.767123287671,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,-0.14562807641825182,-1.0871108128805376,Baixo,0,1
Maruti Zen Estilo LXI BSIII,2009,2397.2602739726026,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,-0.5862360317629196,-0.2974615565960644,Baixo,0,1
Hyundai i20 Asta Optional with Sunroof 1.2,2013,7191.780821917808,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,-0.15786718628893706,-0.22249485505006988,Baixo,0,1
Maruti Swift Dzire LDI,2016,8219.17808219178,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,-0.06607386225879798,1.7991071966402423,Baixo,1,0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,7739.726027397261,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,-0.10891074680619613,-0.07256145195808097,Baixo,0,1
Maruti Alto LX BSIII,2008,1643.835616438356,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,-0.6535511360516882,0.07737195113390706,Baixo,0,1
Hyundai i20 1.4 Asta Option,2017,9931.506849315068,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,0.08691501112476728,0.7870567257693196,Baixo,1,0
Maruti Wagon R VXI,2009,2534.2465753424663,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,-0.5739969218922344,0.5996399719043338,Baixo,0,1
Tata Manza Aura (ABS) Quadrajet,2010,2739.72602739726,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,-0.5556382570862065,-0.14752815350407544,Baixo,1,0
Maruti Swift VXI,2019,8424.657534246575,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,-0.04771519745277013,0.45470434891541206,Baixo,0,1
Maruti Baleno Zeta 1.2,2018,8356.164383561643,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,-0.053834752388112736,0.5021832598945412,Baixo,0,1
Ford Freestyle Titanium Petrol BSIV,2020,5479.45205479452,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,-0.31085605967250224,-0.09755035247341276,Baixo,0,1
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,4109.58904109589,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,-0.4332471583793544,-0.8971951689640183,Baixo,0,1
Tata Indigo CS LS (TDI) BS-III,2016,5136.986301369863,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,-0.3414538343492152,-0.0750603420096145,Baixo,1,0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,6191.767123287671,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,-0.24721391225592615,0.6271277624711983,Baixo,1,0
Maruti Celerio VXI,2020,6506.8493150684935,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,-0.21906273564236306,0.5596577310798035,Baixo,0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,10684.931506849314,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,0.1542301154135359,1.2268613748391533,Baixo,1,0
Maruti Swift Dzire VXI,2017,8150.684931506849,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,-0.0721934171941405,0.36474430706021904,Baixo,0,1
Maruti Wagon R VXI BS IV,2017,6027.397260273972,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,-0.2618996201897614,0.2797820453080922,Baixo,0,1
Nissan Terrano XL 85 PS,2014,5479.45205479452,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,-0.31085605967250224,0.2647887049988928,Baixo,1,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,11643.835616438357,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,0.2399038845083325,0.9020056681398444,Baixo,1,0
Maruti Swift Dzire VDi,2012,5068.4931506849325,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,-0.34757338928455783,-0.02258365092741829,Baixo,1,0
Renault KWID 1.0,2018,4794.520547945205,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,-0.3720516090259283,0.904504558191378,Baixo,0,1
Maruti Celerio VXI,2015,4931.5068493150675,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,-0.3598124991552431,0.9269945686551762,Baixo,0,1
Maruti Alto LXi,2008,1438.3561643835615,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,-0.671909800857716,0.07737195113390706,Baixo,0,1
Hyundai Santro Xing GLS,2009,1849.3150684931506,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,-0.6351924712456605,-0.36743047803899176,Baixo,0,1
Honda Amaze S i-VTEC,2019,9452.054794520549,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,0.04407812657736896,-0.3974171586573897,Baixo,0,1
Honda City i-VTEC CVT VX,2017,10890.410958904107,41000.0,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,0.17258878021956375,-0.347439357626727,Baixo,0,1
Maruti Ciaz ZDi,2015,7328.767123287671,40000.0,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,-0.14562807641825182,1.7041493746819834,Baixo,1,0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11109.589041095891,11000.0,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,0.1921713560126602,-0.5973283627800413,Baixo,0,1
Volkswagen Vento Petrol Highline,2011,5136.986301369863,49000.0,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,-0.3414538343492152,-1.0871108128805376,Baixo,0,1
Skoda Rapid 1.6 MPI AT Elegance,2016,8835.616438356165,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,-0.010997867840714428,-1.2720286766939897,Baixo,0,1
Honda City V AT,2017,11986.301369863013,18000.0,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,0.27050165918504543,-0.9471729699946814,Baixo,0,1
Toyota Glanza V CVT,2019,12260.260273972604,9654.0,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,0.2949786550154289,0.04238749041244292,Baixo,0,1
Maruti Alto K10 VXI,2011,2397.2602739726026,11000.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,-0.5862360317629196,1.1394002230354927,Baixo,0,1
Maruti Swift VXI,2012,4657.534246575343,24300.0,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,-0.3842907188966135,0.45470434891541206,Baixo,0,1
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,14041.09589041096,8000.0,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,0.4540883072453238,0.5271721604098729,Baixo,1,0
Volkswagen Vento Diesel Highline,2011,4109.58904109589,100000.0,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,-0.4332471583793544,0.287278715462691,Baixo,1,0
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,7876.712328767123,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,-0.09667163693551098,-0.30745711680219673,Baixo,0,1
Ford Figo Diesel LXI,2011,2191.7808219178078,120000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,-0.6045946965689474,0.15233865267990152,Baixo,1,0
Maruti Swift VXI Optional,2015,7054.7945205479455,36600.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,-0.17010629615962222,0.25229425474122685,Baixo,0,1
Maruti Wagon R AMT VXI,2015,5342.465753424657,50000.0,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,-0.32309516954318745,0.2797820453080922,Baixo,0,1
Hyundai i20 Magna 1.2,2016,7534.246575342466,14000.0,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,-0.12726941161222394,-0.1975059545347381,Baixo,0,1
Maruti Ritz VDi,2010,3013.698630136986,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,-0.5311600373448361,0.4272165583485476,Baixo,1,0
Hyundai Grand i10 Magna,2015,5821.917808219178,70000.0,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,-0.28025828499578914,-0.12253925298874452,Baixo,0,1
Volkswagen Ameo 1.0 MPI Trendline,2019,6575.342465753424,13000.0,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,-0.21294318070702054,0.012400809794045849,Baixo,0,1
Hyundai Grand i10 Sportz,2014,5479.45205479452,60000.0,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,-0.31085605967250224,-0.12253925298874452,Baixo,0,1
Maruti Swift Dzire VXI,2014,6671.232876712329,35000.0,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,-0.2043758037975408,-0.07256145195808097,Baixo,0,1
Hyundai Xcent 1.2 Kappa S,2016,5287.6712328767135,44000.0,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,-0.3279908134914615,-0.07256145195808097,Baixo,0,1
Honda City 1.5 EXI,2005,1369.86301369863,120000.0,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,-0.6780293557930587,-1.5968843833932984,Baixo,0,1
Toyota Corolla Altis Diesel D4DG,2010,4109.58904109589,60000.0,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,-0.4332471583793544,0.5096799300491409,Baixo,1,0
Daewoo Matiz SD,2000,1369.86301369863,60000.0,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,-0.6780293557930587,-0.22249485505006988,Baixo,0,1
Tata Zest Quadrajet 1.3 75PS XM,2017,6712.328767123287,90000.0,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,-0.2007040708363353,0.8895112178821785,Baixo,1,0
Honda City 1.5 S MT,2009,4726.0273972602745,47000.0,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,-0.3781711639612709,-0.5973283627800413,Baixo,0,1
Maruti Zen LXI,2005,1164.3835616438355,90000.0,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,-0.6963880205990866,-0.5223616612340468,Baixo,0,1
Maruti Wagon R VXI BS IV with ABS,2010,2945.205479452055,120600.0,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,-0.5372795922801786,-0.12253925298874452,Baixo,0,1
Hyundai Verna Transform SX VTVT,2010,4383.5616438356155,100000.0,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,-0.4087689386379839,-0.7972395669026929,Baixo,0,1
Maruti Swift Dzire VXI,2016,6301.356164383562,60000.0,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,-0.237422624359378,0.36474430706021904,Baixo,0,1
Hyundai Getz GLS,2005,890.4109589041096,86000.0,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,-0.7208662403404569,-1.0221396715406754,Baixo,0,1
Hyundai Elite i20 Sportz Plus BSIV,2020,9863.013698630135,5000.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,0.08079545618942466,-0.1975059545347381,Baixo,0,1
Maruti Ciaz 1.3 Alpha,2017,10958.90410958904,37000.0,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,0.17870833515490636,2.173940704370214,Baixo,1,0
Tata Tigor 1.2 Revotron XZ,2019,7123.287671232877,14000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,-0.1639867412242796,0.227305354225896,Baixo,0,1
Honda City i VTEC S,2015,8219.17808219178,50000.0,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,-0.06607386225879798,-0.497372760718716,Baixo,0,1
Honda Brio S MT,2014,3972.6027397260273,60000.0,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,-0.4454862682500396,0.0024052495879126005,Baixo,0,1
Maruti Swift Dzire VXI,2017,7534.246575342466,50000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,-0.12726941161222394,0.36474430706021904,Baixo,0,1
Hyundai i20 Sportz 1.2,2013,5136.986301369863,70000.0,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,-0.3414538343492152,-0.22249485505006988,Baixo,0,1
Maruti Wagon R AMT VXI,2018,5753.424657534247,35000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,-0.2863778399311317,0.2797820453080922,Baixo,0,1
Maruti Swift Dzire VXI 1.2,2017,7534.246575342466,20000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,-0.12726941161222394,0.45470434891541206,Baixo,0,1
Maruti Alto 800 LXI,2018,3698.6301369863013,20000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,-0.46996448799141,1.3268169769004785,Baixo,0,1
Maruti Swift Dzire AMT VXI BS IV,2018,9589.041095890409,7800.0,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,0.05631723644805419,0.65211666298653,Baixo,0,1
Maruti Swift VXI Optional,2017,6849.315068493151,20000.0,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,-0.18846496096565007,0.25229425474122685,Baixo,0,1
Hyundai i20 Magna,2013,4383.5616438356155,31377.0,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,-0.4087689386379839,-0.22249485505006988,Baixo,0,1
Maruti Swift Dzire VDI,2018,9589.041095890409,50000.0,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,0.05631723644805419,2.251406295967741,Baixo,1,0
Maruti Wagon R VXI BS IV,2015,3972.6027397260273,60000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,-0.4454862682500396,0.2797820453080922,Baixo,0,1
Honda Brio S MT,2012,3630.1369863013697,60000.0,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0,-0.4760840429267527,0.0024052495879126005,Baixo,0,1
Maruti Baleno Alpha Automatic,2018,11369.86301369863,5000.0,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0,0.21542566476696207,0.5021832598945412,Baixo,0,1
Maruti Alto LXi,2011,2191.7808219178078,25000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,-0.6045946965689474,0.07737195113390706,Baixo,0,1
Renault KWID RXT,2018,4589.04109589041,30000.0,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,-0.3904102738319561,1.4442648093225368,Baixo,0,1
Datsun GO T BSIV,2017,4506.849315068494,80000.0,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0,-0.3977537397543672,0.3097687259264893,Baixo,0,1
