preco_de_venda_USD,kilometragem,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,Marca
5068.49,175000.0,Diesel,Individual,Manual,4º dono e acima,19.3,1248.0,73.9,Maruti
4794.52,25000.0,Gasolina,Individual,Manual,1º dono,23.01,999.0,67.0,Renault
4931.51,40000.0,Gasolina,Individual,Manual,2º dono,23.1,998.0,67.04,Maruti
1849.32,80000.0,Gasolina,Individual,Manual,2º dono,17.92,1086.0,62.1,Hyundai
9452.05,1303.0,Gasolina,Distribuidora,Manual,1º dono,17.8,1198.0,86.7,Honda
7328.77,40000.0,Diesel,Distribuidora,Manual,1º dono,26.21,1248.0,88.5,Maruti
11109.59,11000.0,Gasolina,Distribuidora,Manual,1º dono,17.0,1198.0,108.5,Tata
5136.99,49000.0,Gasolina,Individual,Manual,1º dono,15.04,1598.0,103.6,Volkswagen
8835.62,11000.0,Gasolina,Distribuidora,Automatico,1º dono,14.3,1598.0,103.5,Skoda
12260.26,9654.0,Gasolina,Distribuidora,Automatico,1º dono,19.56,1197.0,81.8,Toyota
2397.26,11000.0,Gasolina,Distribuidora,Manual,1º dono,23.95,998.0,67.05,Maruti
4657.53,24300.0,Gasolina,Distribuidora,Manual,1º dono,21.21,1197.0,81.8,Maruti
14041.1,8000.0,Diesel,Distribuidora,Automatico,1º dono,21.5,1497.0,108.5,Tata
4109.59,100000.0,Diesel,Individual,Manual,2º dono,20.54,1598.0,103.6,Volkswagen
7876.71,9500.0,Gasolina,Individual,Manual,1º dono,18.16,1196.0,86.8,Ford
2191.78,120000.0,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.0,Ford
7054.79,36600.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,Maruti
5342.47,50000.0,Gasolina,Individual,Automatico,2º dono,20.51,998.0,67.0,Maruti
7534.25,14000.0,Gasolina,Individual,Manual,2º dono,18.6,1197.0,81.83,Hyundai
3013.7,120000.0,Diesel,Individual,Manual,1º dono,21.1,1248.0,73.9,Maruti
5821.92,70000.0,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,Hyundai
6575.34,13000.0,Gasolina,Individual,Manual,1º dono,19.44,999.0,75.0,Volkswagen
5479.45,60000.0,Gasolina,Individual,Manual,2º dono,18.9,1197.0,82.0,Hyundai
6671.23,35000.0,Gasolina,Individual,Manual,1º dono,19.1,1197.0,85.8,Maruti
5287.67,44000.0,Gasolina,Individual,Manual,2º dono,19.1,1197.0,82.0,Hyundai
1369.86,120000.0,Gasolina,Individual,Manual,2º dono,13.0,1493.0,100.0,Honda
4109.59,60000.0,Diesel,Individual,Manual,1º dono,21.43,1364.0,87.2,Toyota
6712.33,90000.0,Diesel,Individual,Manual,1º dono,22.95,1248.0,74.0,Tata
1164.38,90000.0,Gasolina,Individual,Manual,1º dono,17.3,993.0,60.0,Maruti
2945.21,120600.0,Gasolina,Individual,Manual,2º dono,18.9,998.0,67.1,Maruti
4383.56,100000.0,Gasolina,Individual,Manual,3º dono,16.2,1599.0,103.2,Hyundai
6301.36,60000.0,Gasolina,Individual,Manual,2º dono,20.85,1197.0,83.14,Maruti
890.41,86000.0,Gasolina,Individual,Manual,1º dono,15.3,1341.0,83.0,Hyundai
9863.01,5000.0,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.86,Hyundai
10958.9,37000.0,Diesel,Individual,Manual,1º dono,28.09,1248.0,88.5,Maruti
7123.29,14000.0,Gasolina,Individual,Manual,1º dono,20.3,1199.0,84.0,Tata
3972.6,60000.0,Gasolina,Individual,Manual,2º dono,19.4,1198.0,86.8,Honda
7534.25,50000.0,Gasolina,Individual,Manual,1º dono,20.85,1197.0,83.14,Maruti
5136.99,70000.0,Gasolina,Individual,Manual,1º dono,18.5,1197.0,82.85,Hyundai
5753.42,35000.0,Gasolina,Individual,Automatico,1º dono,20.51,998.0,67.0,Maruti
7534.25,20000.0,Gasolina,Individual,Manual,1º dono,21.21,1197.0,81.8,Maruti
9589.04,7800.0,Gasolina,Individual,Automatico,1º dono,22.0,1197.0,81.8,Maruti
6849.32,20000.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,Maruti
4383.56,31377.0,Gasolina,Individual,Manual,2º dono,18.5,1197.0,82.85,Hyundai
9589.04,50000.0,Diesel,Individual,Manual,1º dono,28.4,1248.0,74.02,Maruti
3972.6,60000.0,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,Maruti
3630.14,60000.0,Gasolina,Individual,Manual,1º dono,19.4,1198.0,86.8,Honda
11369.86,5000.0,Gasolina,Individual,Automatico,1º dono,21.4,1197.0,83.1,Maruti
4506.85,80000.0,Gasolina,Individual,Manual,2º dono,20.63,1198.0,67.0,Datsun
10616.44,75000.0,Diesel,Individual,Manual,1º dono,24.3,1248.0,88.5,Maruti
7178.08,32000.0,Gasolina,Individual,Manual,1º dono,20.14,1197.0,81.86,Hyundai
3767.12,93000.0,Gasolina,Individual,Manual,2º dono,17.0,1197.0,80.0,Hyundai
7123.29,60000.0,Gasolina,Individual,Manual,1º dono,17.57,1193.0,88.7,Tata
7534.25,37000.0,Gasolina,Individual,Manual,1º dono,16.95,1498.0,97.7,Nissan
4109.59,80000.0,Gasolina,Individual,Manual,1º dono,19.49,1198.0,67.04,Nissan
4794.52,140000.0,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,Maruti
3424.66,110000.0,Diesel,Individual,Manual,2º dono,21.1,1248.0,73.9,Maruti
5616.42,13500.0,Gasolina,Individual,Manual,1º dono,15.37,1196.0,73.0,Maruti
2260.27,75000.0,Gasolina,Individual,Manual,1º dono,17.92,1086.0,62.1,Hyundai
1095.89,120000.0,Gasolina,Individual,Manual,2º dono,13.2,1495.0,94.0,Hyundai
7534.25,70000.0,Diesel,Individual,Manual,1º dono,23.4,1248.0,74.0,Maruti
9315.07,15000.0,Gasolina,Individual,Automatico,1º dono,19.0,1199.0,88.76,Honda
2739.73,53000.0,Gasolina,Individual,Manual,2º dono,20.36,1197.0,78.9,Hyundai
6849.32,120000.0,Diesel,Individual,Manual,2º dono,23.4,1248.0,74.0,Maruti
1506.85,120000.0,Gasolina,Individual,Manual,2º dono,14.2,1341.0,82.9,Hyundai
4383.56,100000.0,Gasolina,Individual,Manual,2º dono,18.5,1197.0,80.0,Hyundai
4794.52,100000.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,83.11,Maruti
2328.77,162500.0,Diesel,Individual,Manual,1º dono,19.4,1405.0,70.0,Tata
10958.9,39000.0,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,Hyundai
6849.32,75000.0,Diesel,Individual,Manual,1º dono,26.8,1248.0,74.0,Maruti
4931.51,158000.0,Diesel,Individual,Manual,1º dono,23.4,1248.0,74.0,Maruti
4246.58,120000.0,Diesel,Individual,Manual,1º dono,19.3,1248.0,73.9,Maruti
9931.51,50000.0,Diesel,Individual,Manual,2º dono,26.0,1498.0,98.6,Honda
4657.53,110000.0,Diesel,Individual,Manual,1º dono,19.3,1248.0,73.9,Maruti
7534.25,2000.0,Diesel,Individual,Manual,2º dono,25.4,1186.0,73.97,Hyundai
5205.48,70000.0,Diesel,Individual,Manual,1º dono,27.28,1047.0,69.0,Tata
4794.52,90000.0,Gasolina,Individual,Automatico,2º dono,17.97,1498.0,99.6,Nissan
8356.16,2000.0,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.86,Hyundai
7191.78,20000.0,Gasolina,Individual,Manual,1º dono,20.85,1197.0,83.14,Maruti
4383.56,193000.0,Diesel,Individual,Manual,1º dono,19.3,1248.0,73.9,Maruti
5136.99,80000.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,Maruti
4109.59,40000.0,Gasolina,Individual,Manual,1º dono,19.02,1198.0,67.05,Datsun
6849.32,70000.0,Diesel,Individual,Manual,4º dono e acima,22.54,1396.0,88.73,Hyundai
4794.52,120000.0,Diesel,Individual,Manual,1º dono,27.28,1047.0,69.0,Tata
5205.48,40000.0,Gasolina,Individual,Manual,1º dono,17.57,1193.0,88.7,Tata
1575.33,95200.0,Gasolina,Individual,Manual,3º dono,13.2,1495.0,94.0,Hyundai
4589.04,33033.0,Gasolina,Distribuidora,Manual,1º dono,19.4,1198.0,86.8,Honda
6369.86,63063.0,Gasolina,Distribuidora,Automatico,1º dono,18.9,1197.0,82.0,Hyundai
3972.6,60000.0,Diesel,Individual,Manual,1º dono,21.02,1248.0,88.76,Tata
6164.38,35000.0,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,Hyundai
6164.38,35000.0,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,Hyundai
3972.6,50000.0,Gasolina,Individual,Automatico,1º dono,16.95,1197.0,78.9,Hyundai
7123.29,20000.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,Maruti
3630.14,20000.0,Gasolina,Individual,Automatico,1º dono,16.95,1197.0,78.9,Hyundai
4520.55,50000.0,Gasolina,Individual,Manual,2º dono,18.6,1197.0,85.8,Maruti
4520.55,50000.0,Gasolina,Individual,Manual,2º dono,18.6,1197.0,85.8,Maruti
7191.78,50000.0,Gasolina,Individual,Manual,1º dono,17.19,1197.0,81.86,Hyundai
9246.58,16500.0,Gasolina,Individual,Manual,1º dono,21.01,1197.0,81.8,Maruti
4109.59,70000.0,Gasolina,Individual,Manual,1º dono,17.0,1197.0,80.0,Hyundai
8904.11,25000.0,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,Maruti
5602.74,70000.0,Gasolina,Individual,Manual,2º dono,19.1,1197.0,85.8,Maruti
5410.96,80000.0,Diesel,Individual,Manual,2º dono,24.0,1120.0,70.0,Hyundai
5479.45,70000.0,Gasolina,Individual,Manual,2º dono,19.1,1197.0,85.8,Maruti
1643.84,60000.0,Gasolina,Individual,Manual,3º dono,18.6,1199.0,79.4,Chevrolet
8835.62,10000.0,Gasolina,Individual,Automatico,1º dono,20.3,1199.0,84.0,Tata
17808.22,30000.0,Diesel,Individual,Manual,1º dono,25.6,1498.0,97.9,Honda
17123.29,33000.0,Diesel,Individual,Manual,1º dono,25.6,1498.0,97.9,Honda
7602.74,80100.0,Diesel,Individual,Manual,2º dono,19.01,1461.0,108.5,Nissan
5616.42,47000.0,Gasolina,Individual,Manual,1º dono,20.51,998.0,67.04,Maruti
16575.34,25000.0,Diesel,Individual,Manual,1º dono,21.38,1396.0,88.7,Hyundai
5479.45,26000.0,Gasolina,Individual,Manual,1º dono,23.84,1199.0,84.0,Tata
7123.29,29000.0,Diesel,Individual,Manual,1º dono,24.0,1186.0,73.97,Hyundai
8904.11,50000.0,Gasolina,Individual,Automatico,1º dono,21.4,1197.0,83.1,Maruti
4452.05,58000.0,Gasolina,Individual,Manual,3º dono,16.1,1298.0,88.2,Maruti
5753.42,120000.0,Gasolina,Individual,Automatico,1º dono,17.4,1197.0,85.8,Maruti
5479.45,50000.0,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,Maruti
3493.14,80000.0,Gasolina,Individual,Manual,4º dono e acima,17.0,1197.0,80.0,Hyundai
890.41,60000.0,Gasolina,Individual,Manual,4º dono e acima,17.3,993.0,60.0,Maruti
4808.22,36000.0,Gasolina,Individual,Manual,1º dono,23.1,998.0,67.04,Maruti
2534.25,185000.0,Diesel,Individual,Manual,3º dono,21.1,1248.0,73.9,Maruti
3424.66,50000.0,Diesel,Individual,Manual,1º dono,23.08,1461.0,63.1,Nissan
821.92,100000.0,Gasolina,Individual,Manual,4º dono e acima,17.3,993.0,60.0,Maruti
1164.38,80000.0,Gasolina,Individual,Manual,2º dono,18.2,998.0,67.1,Maruti
3630.14,90000.0,Diesel,Individual,Manual,4º dono e acima,19.3,1248.0,73.9,Maruti
1780.82,162000.0,Gasolina,Individual,Manual,2º dono,19.0,998.0,66.1,Maruti
2328.77,120000.0,Diesel,Individual,Manual,3º dono,17.8,1248.0,75.0,Maruti
3767.12,45000.0,Diesel,Individual,Manual,1º dono,23.08,1461.0,63.1,Nissan
1219.18,90000.0,Gasolina,Individual,Manual,2º dono,18.9,998.0,67.1,Maruti
2328.77,90000.0,Diesel,Individual,Manual,2º dono,20.0,1399.0,68.0,Ford
14931.51,16500.0,Gasolina,Distribuidora,Manual,1º dono,17.0,1197.0,110.0,Mahindra
8356.16,52000.0,Gasolina,Distribuidora,Manual,1º dono,22.0,1197.0,81.8,Maruti
4589.04,40000.0,Gasolina,Distribuidora,Manual,1º dono,20.63,1198.0,67.0,Datsun
5958.89,40000.0,Gasolina,Distribuidora,Manual,1º dono,18.9,1197.0,82.0,Hyundai
4452.05,40000.0,Gasolina,Distribuidora,Manual,1º dono,18.5,1198.0,86.8,Honda
8767.12,10000.0,Gasolina,Distribuidora,Manual,1º dono,17.0,1198.0,73.75,Volkswagen
6164.38,9000.0,Gasolina,Distribuidora,Manual,1º dono,16.95,1498.0,97.7,Nissan
5479.45,70000.0,Diesel,Distribuidora,Manual,2º dono,23.59,1364.0,67.06,Toyota
2945.21,60000.0,Gasolina,Distribuidora,Manual,1º dono,20.36,1197.0,78.9,Hyundai
7808.22,40000.0,Diesel,Distribuidora,Manual,1º dono,20.45,1461.0,83.8,Renault
2054.79,50000.0,Gasolina,Individual,Manual,2º dono,15.64,1193.0,64.08,Tata
3424.66,120000.0,Diesel,Individual,Manual,1º dono,23.08,1461.0,63.1,Nissan
890.41,35000.0,Gasolina,Individual,Manual,1º dono,18.9,998.0,67.1,Maruti
7534.25,60000.0,Diesel,Individual,Manual,2º dono,26.59,1248.0,74.0,Maruti
1917.81,70000.0,Gasolina,Individual,Manual,4º dono e acima,20.36,1197.0,78.9,Hyundai
3082.19,58343.0,Gasolina,Concessionaria,Manual,1º dono,21.79,998.0,67.05,Maruti
10136.99,38817.0,Diesel,Distribuidora,Manual,1º dono,27.39,1248.0,74.0,Maruti
7534.25,56494.0,Gasolina,Concessionaria,Manual,1º dono,18.2,1199.0,88.7,Honda
8904.11,5621.0,Gasolina,Concessionaria,Automatico,1º dono,22.0,1197.0,81.8,Maruti
8561.64,25538.0,Gasolina,Concessionaria,Manual,1º dono,16.78,1496.0,88.73,Toyota
8219.18,69779.0,Gasolina,Distribuidora,Automatico,1º dono,22.0,1197.0,81.8,Maruti
6164.38,56290.0,Diesel,Distribuidora,Manual,1º dono,24.0,1186.0,73.97,Hyundai
10671.23,7032.0,Gasolina,Concessionaria,Automatico,1º dono,19.0,1199.0,88.76,Honda
8835.62,11000.0,Gasolina,Distribuidora,Automatico,1º dono,14.3,1598.0,103.5,Skoda
2054.79,106000.0,Gasolina,Individual,Manual,3º dono,20.36,1197.0,78.9,Hyundai
6575.34,90000.0,Diesel,Individual,Manual,1º dono,26.59,1248.0,74.0,Maruti
4109.59,100000.0,Diesel,Individual,Manual,2º dono,21.5,1248.0,88.8,Maruti
10273.97,19000.0,Diesel,Individual,Automatico,1º dono,28.4,1248.0,74.02,Maruti
2945.21,80000.0,Gasolina,Individual,Manual,2º dono,23.95,998.0,67.05,Maruti
2054.79,80000.0,Gasolina,Individual,Manual,1º dono,20.92,998.0,67.1,Maruti
4452.05,100000.0,Gasolina,Individual,Manual,1º dono,23.84,1199.0,84.0,Tata
3561.64,120000.0,Gasolina,Individual,Manual,2º dono,15.1,1196.0,73.0,Maruti
3082.19,58343.0,Gasolina,Concessionaria,Manual,1º dono,21.79,998.0,67.05,Maruti
10136.99,38817.0,Diesel,Distribuidora,Manual,1º dono,27.39,1248.0,74.0,Maruti
7534.25,56494.0,Gasolina,Concessionaria,Manual,1º dono,18.2,1199.0,88.7,Honda
8904.11,5621.0,Gasolina,Concessionaria,Automatico,1º dono,22.0,1197.0,81.8,Maruti
8561.64,25538.0,Gasolina,Concessionaria,Manual,1º dono,16.78,1496.0,88.73,Toyota
8219.18,69779.0,Gasolina,Distribuidora,Automatico,1º dono,22.0,1197.0,81.8,Maruti
6164.38,56290.0,Diesel,Distribuidora,Manual,1º dono,24.0,1186.0,73.97,Hyundai
10671.23,7032.0,Gasolina,Concessionaria,Automatico,1º dono,19.0,1199.0,88.76,Honda
8835.62,11000.0,Gasolina,Distribuidora,Automatico,1º dono,14.3,1598.0,103.5,Skoda
9589.04,40000.0,Diesel,Individual,Automatico,1º dono,23.8,1498.0,78.9,Honda
13013.7,45000.0,Diesel,Individual,Manual,1º dono,21.38,1396.0,88.7,Hyundai
5616.42,135000.0,Diesel,Individual,Manual,2º dono,24.4,1120.0,71.01,Hyundai
6164.38,67000.0,Diesel,Individual,Manual,1º dono,23.59,1364.0,67.1,Toyota
12328.77,50000.0,Diesel,Individual,Manual,1º dono,28.4,1248.0,74.02,Maruti
3493.14,110000.0,Diesel,Individual,Manual,2º dono,23.08,1461.0,63.1,Nissan
7260.27,120000.0,Diesel,Individual,Manual,2º dono,23.4,1248.0,74.0,Maruti
7123.29,110000.0,Diesel,Individual,Manual,2º dono,20.14,1498.0,88.8,Volkswagen
3150.67,170000.0,Diesel,Individual,Manual,2º dono,21.0,1461.0,64.1,Mahindra
8219.18,47000.0,Diesel,Individual,Manual,1º dono,25.2,1248.0,74.0,Maruti
5616.42,93000.0,Gasolina,Individual,Manual,1º dono,19.1,1197.0,81.86,Hyundai
4383.56,50000.0,Gasolina,Individual,Manual,1º dono,23.1,998.0,67.04,Maruti
4000.0,70000.0,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.05,Ford
7534.25,44000.0,Gasolina,Individual,Manual,1º dono,18.16,1196.0,86.8,Ford
5273.97,25000.0,Gasolina,Individual,Manual,1º dono,23.1,998.0,67.04,Maruti
9246.58,10000.0,Gasolina,Individual,Manual,1º dono,21.21,1197.0,81.8,Maruti
13013.7,30000.0,Diesel,Individual,Manual,1º dono,23.0,1498.0,98.96,Ford
8356.16,50000.0,Diesel,Individual,Manual,2º dono,21.19,1396.0,88.73,Hyundai
7191.78,120000.0,Diesel,Individual,Manual,1º dono,22.54,1396.0,88.73,Hyundai
9589.04,40000.0,Diesel,Individual,Automatico,1º dono,23.8,1498.0,78.9,Honda
7945.21,90000.0,Diesel,Individual,Manual,1º dono,20.45,1461.0,83.8,Nissan
5958.89,50000.0,Gasolina,Individual,Manual,2º dono,20.4,1197.0,83.11,Maruti
4794.52,2136.0,Gasolina,Individual,Manual,1º dono,22.5,999.0,67.0,Datsun
8219.18,35000.0,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.83,Hyundai
10068.49,70000.0,Diesel,Individual,Manual,1º dono,27.39,1248.0,74.0,Maruti
14383.56,18000.0,Diesel,Distribuidora,Manual,1º dono,19.6,1461.0,108.45,Renault
10958.9,60000.0,Diesel,Individual,Manual,1º dono,23.65,1248.0,88.5,Maruti
8219.18,147000.0,Diesel,Individual,Manual,2º dono,26.59,1248.0,74.0,Maruti
2739.73,110000.0,Diesel,Individual,Manual,2º dono,17.0,1405.0,71.0,Tata
5068.49,35000.0,Gasolina,Individual,Manual,1º dono,19.49,1198.0,67.04,Nissan
3561.64,110000.0,Diesel,Individual,Manual,2º dono,16.2,1493.0,110.0,Hyundai
4109.59,60000.0,Diesel,Individual,Manual,2º dono,23.5,1498.0,90.0,Ford
1917.81,40000.0,Diesel,Individual,Manual,1º dono,16.6,1405.0,70.0,Tata
3150.67,50000.0,Gasolina,Individual,Manual,1º dono,19.81,1086.0,68.05,Hyundai
2739.73,65000.0,Gasolina,Individual,Manual,2º dono,19.0,998.0,66.1,Maruti
2739.73,80000.0,Gasolina,Individual,Manual,1º dono,18.9,998.0,67.1,Maruti
8013.7,90000.0,Diesel,Individual,Manual,1º dono,25.2,1248.0,74.0,Maruti
5890.41,80000.0,Diesel,Individual,Manual,2º dono,25.2,1248.0,74.0,Maruti
6849.32,60000.0,Gasolina,Individual,Manual,1º dono,20.14,1197.0,81.86,Hyundai
5821.92,22000.0,Gasolina,Individual,Manual,1º dono,18.5,1198.0,86.8,Honda
2191.78,123000.0,Gasolina,Individual,Manual,3º dono,17.5,1298.0,85.8,Maruti
3424.66,70000.0,Diesel,Individual,Manual,2º dono,20.54,1598.0,103.6,Volkswagen
2328.77,70000.0,Gasolina,Individual,Manual,2º dono,18.6,1199.0,79.4,Chevrolet
5616.42,45000.0,Diesel,Individual,Manual,1º dono,23.59,1364.0,67.06,Toyota
5479.45,40000.0,Gasolina,Individual,Automatico,1º dono,18.9,1197.0,82.0,Hyundai
9589.04,30000.0,Diesel,Individual,Manual,1º dono,28.4,1248.0,74.02,Maruti
